shipping_mode,total_orders,late_orders,total_revenue,total_profit,revenue_at_risk,avg_delay_days,weighted_revenue_at_risk,late_rate_pct,late_rate_score,revenue_at_risk_score,delay_score,profit_impact_score,volume_weight,raw_risk_score,risk_score,risk_flag
Second Class,35216,26987,7145444.818358915,750308.170265433,5477446.435804352,1.9908280327124035,8224985.418655327,76.63,67.35,61.44,100.0,50,26.0,68.93,53.63,MEDIUM RISK
First Class,27814,26513,5674369.758202553,643121.920739061,5408068.562869153,1.0,5408068.562869153,95.32,100.0,60.52,50.33,50,18.44,70.2,53.02,MEDIUM RISK
Standard Class,107752,41023,22022391.879809294,2370454.452803965,8364603.379961546,-0.004092731457420744,8364603.379961545,38.07,0.0,100.0,0.0,50,100.0,35.0,35.0,LOW RISK
Same Day,9737,4454,1942528.557009085,203018.430241898,876276.8866037719,0.4782787306151792,876276.8866037719,45.74,13.4,0.0,24.18,50,0.0,19.53,13.67,LOW RISK
