priority,area,issue,revenue_at_risk,risk_score,risk_trend,priority_score,action,rank,short_issue,short_action,action_type
HIGH,Regional Delivery,"Western Europe (Europe) has 55.85% late delivery rate with $3,292,014 revenue at risk and risk score 77.12. Risk is Stable →.",3292013.64,77.12,Stable →,269046966.65,"Flag high-value orders in Western Europe for priority routing review. Investigate root cause with logistics team. If late rate remains above 40% over the next review cycle, consider evaluating alternative logistics partners for this lane.",1,Western Europe — 55.85% late rate,Flag high-value orders in Western Europe for priority routing review,Escalate
MEDIUM,Product Profitability,SOLE E35 Elliptical (Strength Training) is loss making. Total profit: $-965. Margin: -3.22%. Loss rate: 20.0% of orders.,965.12,0.0,,9651.2,"Review discount policy on SOLE E35 Elliptical. If margin cannot reach a positive level after discount review, consider flagging for discontinuation. Avoid scaling order volume on this product until profitability is addressed.",2,SOLE E35 Elliptical — -3.22% margin,Review discount policy on SOLE E35 Elliptical,Review
MEDIUM,Product Profitability,Bushnell Pro X7 Jolt Slope Rangefinder (Kids' Golf Clubs) is loss making. Total profit: $-256. Margin: -3.88%. Loss rate: 27.27% of orders.,255.95,0.0,,2559.5,"Review discount policy on Bushnell Pro X7 Jolt Slope Rangefinder. If margin cannot reach a positive level after discount review, consider flagging for discontinuation. Avoid scaling order volume on this product until profitability is addressed.",3,Bushnell Pro X7 Jolt Slope Rangefinder — -3.88% margin,Review discount policy on Bushnell Pro X7 Jolt Slope Rangefinder,Review
MEDIUM,Product Profitability,SOLE E25 Elliptical (Basketball) is loss making. Total profit: $-170. Margin: -1.7%. Loss rate: 30.0% of orders.,169.56,0.0,,1695.6,"Review discount policy on SOLE E25 Elliptical. If margin cannot reach a positive level after discount review, consider flagging for discontinuation. Avoid scaling order volume on this product until profitability is addressed.",4,SOLE E25 Elliptical — -1.7% margin,Review discount policy on SOLE E25 Elliptical,Review
